Isleworks Caramels,Average,Sufficient,Plummeting,0,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,,,0,Cycle4Weak
Isleworks Ribbon,Very High,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,None,0,,,0,Cycle2Strong
Isleworks Rope,Average,Sufficient,None,0,Insufficient,None,0,Sufficient,Decreasing,0,Sufficient,Increasing,9,Sufficient,Increasing,0,,,0,Cycle6Weak
Isleworks Cavalier's Hat,Average,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,Sufficient,None,0,,,0,Cycle3Weak
Isleworks Horn,Average,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,Sufficient,Plummeting,0,Sufficient,None,0,,,0,Cycle3Strong
Isleworks Salt Cod,Average,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,Sufficient,None,0,,,0,Cycle3Weak
Isleworks Squid Ink,Very High,Sufficient,None,0,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,Sufficient,Plummeting,0,,,0,Cycle4Strong
Isleworks Essential Draught,Low,Insufficient,Skyrocketing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,None,0,,,0,Cycle2Weak
Isleberry Jam,Average,Sufficient,None,0,Sufficient,None,0,Sufficient,None,0,Insufficient,Increasing,0,Insufficient,Increasing,0,,,0,Cycle5Weak
Isleworks Tomato Relish,High,Insufficient,None,0,Nonexistent,Skyrocketing,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,None,0,,,0,Cycle2Strong
Isleworks Onion Soup,Average,Sufficient,None,0,Insufficient,None,0,Sufficient,Decreasing,0,Sufficient,Increasing,0,Insufficient,Increasing,0,,,0,Cycle6Weak
Islefish Pie,Very High,Sufficient,None,0,Sufficient,None,0,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,,,0,Cycle5Strong
Isleworks Corn Flakes,Very High,Insufficient,Increasing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,None,0,,,0,Cycle2Weak
Isleworks Pickled Radish,Very High,Insufficient,Skyrocketing,0,Insufficient,Increasing,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,None,0,,,0,Cycle2Weak
Isleworks Iron Axe,Very High,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Skyrocketing,0,Insufficient,Skyrocketing,0,,,0,Cycle6Strong
Isleworks Quartz Ring,High,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Increasing,0,Sufficient,Increasing,0,,,0,Cycle7Weak
Isleworks Porcelain Vase,High,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,0,,,0,Cycle5Strong
Isleworks Vegetable Juice,Average,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Increasing,0,Sufficient,Increasing,0,,,0,Cycle7Weak
Isleworks Pumpkin Pudding,High,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Skyrocketing,0,Insufficient,Skyrocketing,0,,,0,Cycle6Strong
Isleworks Sheepfluff Rug,High,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,12,Surplus,Plummeting,0,Surplus,None,0,,,0,Cycle3Strong
Isleworks Garden Scythe,Low,Sufficient,None,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,None,0,Sufficient,Skyrocketing,0,,,0,Cycle7Strong
Isleworks Bed,Very High,Sufficient,None,0,Sufficient,None,0,Insufficient,Skyrocketing,0,Nonexistent,Skyrocketing,12,Surplus,Plummeting,0,,,0,Cycle4Strong
Isleworks Scale Fingers,High,Sufficient,Plummeting,0,Insufficient,None,0,Sufficient,Plummeting,0,Sufficient,Skyrocketing,0,Insufficient,Skyrocketing,0,,,12,Cycle6Strong
Isleworks Crook,High,Sufficient,Plummeting,0,Insufficient,None,0,Sufficient,Decreasing,0,Sufficient,Increasing,0,Insufficient,Increasing,0,,,0,Cycle6Weak
,,0,0,0,9,4194,3894,21,4815,4491,30,5376,5088,30,0,0,35,5406,5046,35,6225,5853
,,,,,,,Firesand;GrowthFormula;Firesand;GrowthFormula,,,CulinaryKnife;BoiledEgg;SheepfluffRug;BoiledEgg;SheepfluffRug,,,Rope;Bed;Rope;Bed,11,,,,,Earrings;ScaleFingers;Earrings;ScaleFingers,,,Brush;SpruceRoundShield;Brush;SpruceRoundShield
